"CNT","Country","GNI","StudentTeacherRatio","TeacherMasters","ClassSize","ExtraCur","MaterialShortages","StaffShortages","StudentBehaviour","TeacherBehaviour","Attitude","Bullying","Discipline","SocioEcoStatus","ParentEducation","Competitiveness","Cooperation","TeacherFeedback","TeacherEngagment","TeacherInterest","TeacherSupport","TruantDay","TruantClass","PositiveAffect","LearningTime","Spending"
"TUR","Turkey",-0.365831152649133,-0.0223713017287491,-0.0206475847337536,2.39167283033073,0.150954627066434,-1.46966242241189,0.388476195408346,-0.314914088784621,-0.623337287641487,-0.439127917443439,-0.525286025873995,-0.68656462909016,-1.6307560581913,-2.02241562715788,1.09288698581876,-0.147014692928927,-0.279093481597251,-0.29935922142325,-0.965853199225187,0.230754582462027,-0.198021211715335,-0.324331159516871,-1.64983029482624,-0.529650423442456,-0.718490755605103
"GBR","United Kingdom",0.371500706531344,0.348752076069064,0.326402721737017,-0.340678066376793,1.9294881729978,-0.201293283472119,-0.241286024536842,-0.555846368328781,-0.0707127172781968,0.975159170650273,0.534167102473388,-0.245641657579665,1.0197124936745,0.467193924431129,0.993568302373244,-0.646495753970649,1.54903199592953,-0.217130527318953,0.401216657003127,0.409484117990412,-0.526322655891919,-0.592507274739361,-1.72188996207813,-0.115878828526025,0.705173459558862
"USA","United States",1.13506176228346,0.697781086828777,0.546984608638677,-0.215254950014013,1.9977840677276,-1.26779640423717,-0.294984516993839,1.0677245406847,0.409828417916663,1.30512772166999,0.249523518523946,-0.091509556786532,0.68164368373312,0.606323154029335,1.24993327675186,-0.904470979481979,0.8762203586481,0.153678653130036,0.544685521244537,-0.118578443950188,-0.686840771274576,-0.742131823473334,-1.01358641697289,1.44823029998531,0.928192066893072
"ARG","Argentina",-0.689324577032662,-0.66245055870895,-0.672318248452405,1.33995305085311,-1.11539419501515,0.441962834167448,-0.0570793089960559,0.368220152390918,0.948503678831051,0.387769094639193,0.200891492879683,-1.85178411451884,-0.940222462355747,-0.649914972103652,-1.61419780726046,-2.48167897626815,-1.17893310721421,-1.05069840920545,0.499388816582098,0.809155932360819,1.62284962471583,1.58126551920811,-0.114982863749118,-0.620770430101576,-0.593456503475687
"BLR","Belarus",-0.7155537736043,-0.847115756503323,-0.835386636568355,-0.926372363049908,-0.276080922356469,-0.386947772832795,-1.56147467216836,-2.23179421753808,-2.24918245823048,-1.50913206067026,-0.994856745409273,1.82411782975354,0.359810051669181,1.02216976927439,-1.42556504835595,-0.537528705787095,0.289479180513141,1.43614830772862,-0.122798705854177,0.791678847796901,-0.577906526954664,-0.537865928863449,0.331245368062675,-0.755004998952038,-0.525952114067479
"BIH","Bosnia and Herzegovina",-0.909566560943714,-1.09224643578692,-1.07754350838349,-0.723476460573031,1.07330105915309,1.55181561505768,-1.6278158629762,1.24449315195999,0.258638808273529,0.0524667826958663,-0.592727569994894,-0.168212029019433,-0.480162646123145,-0.855989780818179,0.749686212197999,0.0497519621971517,-1.01062827004044,-0.168122417048521,-0.668253675615966,-0.674698152664833,0.099497145870649,-0.130798195652424,1.15740676828019,-0.533211869062508,-0.896664351231281
"BRA","Brazil",-0.856691831346921,3.06168323360384,3.03996297252482,1.29828844128734,-0.695692092924858,-0.150172026551019,-0.250554340166598,1.14829082369296,0.811290380803771,1.5051647625678,0.202797158665316,-1.64761065932475,-1.54666531095357,-1.15474774000708,0.0748759889064759,-1.75915085154068,-1.1235860911312,-0.671796570776622,0.508125277041781,0.9708332145649,1.15976537150152,1.14244831233701,-0.16869542739283,-0.734399525868722,-0.710767897097307
"BRN","Brunei Darussalam",1.90486786483834,-0.871100358017021,-0.859080268435504,-0.527768190066595,0.0571548692591575,-0.252996004448499,-0.322403019078676,-0.461334749540223,0.806017793523393,0.788839613543603,2.88889647523883,-0.50155753726802,0.0684644654263189,0.116859116557627,0.80828005177578,-0.450567999270498,1.01201639759589,-0.732166386247639,0.618854842434992,0.26986909126748,-0.628870244427922,-0.589363985276917,-0.498757437941622,-1.55252654658198,0.86870629420113
"BGR","Bulgaria",-0.588154818827775,-0.369359959488924,-0.365408647935541,-0.250503098732551,-1.15417981654127,-1.18074677017203,-2.2628545952137,0.282759213493399,-0.993592462740829,-0.309334955191297,0.404025245324014,-0.447036611804616,0.15542835304539,0.353616716459066,-0.322070465225583,-1.72719763650037,0.0485193777691975,-0.673595880700737,-0.57459218317398,-0.243765434423064,0.684590246604065,0.686652626916153,0.308440326927716,-1.03575516851826,-0.845947473477965
"HRV","Croatia",-0.384982629510963,-0.750603004435325,-0.739924342656311,-0.846645953179828,-0.671694600189277,1.4681203688339,0.165166408398068,1.58399190528231,0.831276859599284,-0.247508833022383,-1.11254113589473,-0.346094990442854,0.11766949010169,0.432106124490647,-1.45209997974947,-0.149886044819839,-1.31676842512043,0.940225617208122,-0.555805412961333,-1.80253080681073,-0.283149212432907,-0.25576916304943,0.72725244219473,-0.209672681639505,-0.427008549408687
"DOM","Dominican Republic",-0.810894821459934,2.58680641545244,2.58660801811817,1.26595058835831,-0.365818367400291,0.620851825314687,0.148750970819543,-0.128256756270218,-0.165509357913032,0.769140533838403,1.68713001336561,-0.216567585207308,-1.40576674065365,-0.248360577056591,0.338127060657508,-0.440345070445486,1.34876202192628,1.1154103470134,0.99555062656974,1.55155393594731,2.86159270094622,2.9523618476393,1.37651235454533,-0.760399839716564,-0.934729680196559
"HKG","Hong Kong (China)",1.3065923811329,-0.117051703258779,-0.119137388152176,0.11676502680414,2.12562536355695,-0.783549695814041,0.302128356175053,-1.50912073357338,0.857600227152432,-1.10858880316318,0.0710036544294545,0.358329990415945,-0.417818533308474,-1.38355830417466,1.42798314167991,0.230358577511541,0.100091232288435,-0.0707025808366833,-0.220979393827125,-0.649739310463074,-0.9413386849216,-0.999440046800734,-0.715492304737932,0.684820134963779,0.331834319748549
"IDN","Indonesia",-0.989086823565662,0.687470410765321,0.705139099741974,0.602436039468637,0.264234302617636,1.29981990780535,0.935133563378938,-1.55516000312257,-1.22691367216655,1.07812556385184,1.02953535620329,0.0995227625382941,-2.00207038115413,-1.56296401082569,0.26627302904548,1.54328951201878,1.02262363530837,0.48526529937419,1.18503362643744,0.784760942205472,-0.731748374496464,-0.714523548548204,1.16920467161503,0.544215351393,-1.16436893869907
