CNT,Country,GNI,StudentTeacherRatio,TeacherMasters,ClassSize,ExtraCur,MaterialShortages,StaffShortages,StudentBehaviour,TeacherBehaviour,Attitude,Bullying,Discipline,SocioEcoStatus,ParentEducation,Competitiveness,Cooperation,TeacherFeedback,TeacherEngagment,TeacherInterest,TeacherSupport,TruantDay,TruantClass,PositiveAffect,LearningTime
FRA,France,0.4135506883366681,-0.35207918005894,-0.3328353004876454,0.3368182555964588,0.07760410555837427,-0.8596358566778002,0.1578225326875083,0.2566877547471626,0.3958220454706756,-0.029695163741964972,-0.5630487055669416,-1.621260234038293,0.35894686855397695,0.4615592828353303,-0.9475484755103716,-1.8401930835505667,-1.1622412882581916,-0.7187863536204904,-0.3205733450285085,-1.2843572501373055,-0.028706626403763938,0.042864297347303064,0.7495899744930868,-0.015486471827244415
DEU,Germany,0.754946580221474,0.07525163335393814,0.06372790202760517,-0.3964478144668541,0.5876429536890774,0.284268897640896,0.9743112192164225,0.3332476075777115,0.8667864915787972,0.12292341557332395,-0.4088196186170205,-0.336545177556359,0.4024959900075004,-0.37102859719846987,-1.8614609000634459,0.2488039217243281,-0.7175420935787664,-0.947230903382298,-1.0653353498701423,-1.4831190070992029,-0.014064261684587739,0.018692921887312496,-0.09400978794918971,-0.3773442771083308
GRC,Greece,-0.28131485258496725,-0.8644680937973702,-0.8523792423555671,-0.7254974779306756,-0.4552038502164146,1.06206781214326,0.2809036033865725,-0.540849094353691,-0.873528306167957,-1.0192514420855283,-0.3375154818935041,-1.3298923943955436,0.3974283228304223,0.5888318030873583,-0.44580364672369105,-0.1785569902187162,-0.8240156763687473,-0.4976010030296101,-1.6061932791581588,-1.2211820182233581,-0.24469195693354737,-0.0083948776029194,-0.6640796826860561,0.1883310767208704
HUN,Hungary,-0.2734044599681242,-0.6570292159762186,-0.6451995674486238,-0.12440735099180615,-0.4597741579613463,0.49308638292230267,0.12807095772708776,-0.7773073120652965,-1.2730720703213005,0.48475584754379514,-0.8178253465656402,-0.20452432228653894,0.4437316685442135,0.32778512835943463,-1.0187873326100318,-0.5991972630626999,-0.6695273537910637,-0.2503070365674641,-0.6024554671394089,-1.1496177705222221,-0.6378194905360958,-0.6164747365545137,0.4603304110403562,-0.40348184679784005
ISL,Iceland,0.7811757767931115,-0.9287448961980852,-0.8971065560093819,-1.718341024172061,0.10808016552242822,-1.0121176550469249,-0.5632993881248609,-0.657007282359658,-0.0016778611255578546,0.8794275619284722,-1.0809743915254646,-0.5060068619848898,1.5788497151337557,1.1774127147357305,0.11164242752915154,1.300136310016006,-1.227519650842873,-1.3375869229997235,-0.24617731146488683,0.20765644533560793,-0.4638974374683717,-0.3383908858372785,-0.8647261709234105,-0.050299075302672726
IRL,Ireland,1.2749508106655258,-0.18916150616300598,-0.17132517243254566,-0.4994350794261062,-0.6475563596957161,0.07358044363579264,0.30770560438770245,0.24534531746690244,0.44606187008678644,0.5487680064683423,0.18660228454603056,-0.31480858870475054,0.8000652543901439,0.6717332632258977,0.5434735769095319,-0.8727694457337388,0.9253558816158421,-0.3315081762862277,0.17852321066611201,0.008138311740275793,-0.3472115061452825,-0.4089950141439139,-0.8771431948803873,0.6979018231723951
ISR,Israel,0.062995394474465,-0.47343714205690657,-0.46643017662538666,0.3753982271993934,-0.25382090437217475,0.4039691670914755,0.8258360817518681,0.6525492085108734,1.0268444223004891,0.685498284984045,NaN,-0.5081657728999668,1.2143500201328263,0.842953979215968,-0.5674290628545586,0.2073587918756443,-0.9173898096467512,-1.0192717152167199,-0.8506419742206356,-0.9026938327441156,0.15403500773974815,0.18481440906869254,NaN,0.9028392653633798
ITA,Italy,0.24410175175481935,-1.0068826186992788,-1.087019103295986,-0.9034244840551288,-0.5011475334959485,0.29759866211107366,1.1523431693327395,0.07135890836040105,0.5939094169551936,-0.06484496987972632,-0.6453500428155271,-0.5323560975606592,0.15929413026825806,-0.33441458952934927,-1.1825288650793653,-1.3368323073473323,-0.673441407675784,-1.5897685497741687,-1.0323373640371194,-0.7631642026410776,0.4739068825327774,0.3640589597232755,NaN,0.8900917704323811
JPN,Japan,0.331116070540093,-0.3308535183568913,NaN,1.352842824033552,0.8511626847194849,1.3685250965508176,2.300012372039375,-0.623888731405763,1.036040404573758,0.8365405666124242,-1.4832191541606856,2.1169091133588123,0.36350157253312726,0.8134526379269739,-1.6770223169942575,0.4155996075601067,-1.6378258182617609,-0.042329149876150544,-1.6449760785314531,-0.30820948271382004,-1.0031827234935955,-1.0564891684255322,-1.057777039599803,0.3118943529790268
KOR,Korea,0.15250773198084702,-0.09904535838305849,-0.09451540414659765,-0.15023691081508733,1.193588394956011,0.650277915908604,0.45516118095090274,-0.051092079295617814,-0.39071553965357914,0.4268991957809008,NaN,3.058908645729981,0.725301265205744,1.2473811210005346,1.8072582746204453,0.6356838771437233,0.33843065573588266,0.8494944900357453,1.6265953240956292,0.06400660341534249,-1.0051051081618256,-1.072110719298511,-0.2957505940659266,1.1653576927333196
